model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
Logistic Regression,0.9437908496732026,0.035160725898856916,0.5548968678380443,0.22978605233250912
Random Forest,0.9437908496732026,0.0013071895424836555,0.4855411255411255,0.00034632034632033906
SVM,0.9549019607843137,0.022584513128328106,0.5883982683982685,0.2058011389814373
