case_id,image_width,image_height,is_landscape,ink_pixels,ink_density,stroke_darkness_mean,stroke_darkness_std,skeleton_length,skeleton_density,stroke_thickness_proxy,connected_components_count,small_components_count,largest_component_area,largest_component_area_ratio,mean_component_area,contour_count,endpoints_count,intersections_count,endpoints_per_skeleton_length,intersections_per_skeleton_length,components_per_ink_area,bbox_width,bbox_height,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,drawing_center_distance_norm,perseveration_score,distortion_proxy_score
15,1241,1755,0,46527,0.021362700331274062,84.02826315902594,50.910319970269974,11177,0.005131878298679266,4.162744922236491,194,245,7021,0.0032236662373648674,229.15463917525773,131,774,424,0.06924935134031947,0.0379350451786763,0.00416962193985923,1201,1729,0.9534306264362671,0.6946211679036315,0.4931506849315068,0.4997150997150997,0.003961348337788666,-0.5847545879290807,0.6937208788787541
16,1241,1755,0,89844,0.041251541009800476,73.933317750768,39.86890407748456,18880,0.00866868231896435,4.758686440425917,218,287,34777,0.0159677311973847,402.23394495412845,169,913,580,0.04835805084489629,0.03072033898142371,0.0024264280307819508,1201,1729,0.9534306264362671,0.6946211679036315,0.4931506849315068,0.4997150997150997,0.003961348337788666,0.5189092749704786,0.441846415898305
17,1241,1755,0,50033,0.022972467291564793,103.11540383346991,62.97327778441795,10734,0.004928476483673905,4.661170113223293,168,106,12486,0.005732900817510003,293.0,147,474,459,0.04415874789974299,0.04276131916873847,0.0033577838625835394,1200,1725,0.9504328601830616,0.6956521735097668,0.4935535858178888,0.5008547008547009,0.0037867529412890515,0.02506138150076188,0.3660716969745237
18,1241,1755,0,88466,0.040618837395630304,100.0503018108652,56.353329839263665,18779,0.008622308541728364,4.7109004736827895,252,284,20575,0.009446935313172219,342.218253968254,190,934,502,0.04973640768679182,0.02673198785735492,0.0028485519860415465,1197,1729,0.9502551705613752,0.6923076919072829,0.49476228847703463,0.4997150997150997,0.0030329726575737963,0.8339783860391555,0.5278799513913826
19,1241,1755,0,34867,0.01600905436521875,115.31729142168813,63.81051543325597,7548,0.003465636342348671,4.61936936875737,163,142,4425,0.0020317224185072693,206.41104294478527,132,555,305,0.0735294117549643,0.04040805510858399,0.004674907505530303,1200,1728,0.9520857868964234,0.6944444440425668,0.4935535858178888,0.5,0.0037218941447847457,-0.15016359319588282,0.6457879435542604
20,1241,1755,0,54261,0.024913737887146428,75.43060393284311,50.62063967651571,14426,0.006623644657488332,3.7613337027754516,208,224,7494,0.0034408424416482435,252.54326923076923,176,816,707,0.05656453625006484,0.0490087342264655,0.0038333241185412484,1152,1722,0.9108287361309118,0.6689895466498318,0.5128928283642225,0.5017094017094017,0.007573505882578103,-0.753001296235178,0.65208257470503
21,1241,1755,0,39809,0.01827815542561715,131.23122911904343,78.7449179467356,8513,0.003908712530791499,4.676259837345676,190,141,4977,0.0022851711812227524,204.01052631578946,148,571,175,0.0670738869884795,0.02055679548683698,0.004772790072476757,1200,1718,0.9465760311852173,0.6984866119333605,0.4935535858178888,0.5028490028490028,0.004389034892176405,0.21164221703522093,0.348518216886786
22,1241,1755,0,39012,0.01791221581713121,112.36650261458013,60.15359960648375,8808,0.004044160692025317,4.429155312848643,175,152,5305,0.0024357711706623876,216.26857142857142,132,552,224,0.06267029972040528,0.025431425973497793,0.004485799241144115,1094,1593,0.800173557304903,0.6867545507302231,0.4903303787268332,0.46951566951566953,0.025508597256337254,-0.20365620514437732,-0.1558330649419171
23,1241,1755,0,61914,0.028427584591968154,105.58673321058242,46.661998796766675,10507,0.0048242502714702555,5.892642999343995,146,103,13364,0.006136031277046587,417.85616438356163,125,386,415,0.03673741314963953,0.03949747786813577,0.0023581096359085486,1119,1681,0.8636721144376261,0.6656751929412996,0.5132957292506044,0.5065527065527066,0.009356928116796677,0.9678297974019472,-0.14311512000816645
24,1241,1755,0,62222,0.028569001655222446,143.96841953006975,59.74688676707566,13416,0.006159906885128481,4.63789505034005,107,56,30214,0.013872646588198562,578.588785046729,72,258,140,0.01923076922933581,0.010435301132197726,0.0017196489987187868,1201,1729,0.9534306264362671,0.6946211679036315,0.4931506849315068,0.4997150997150997,0.003961348337788666,0.8534614489278911,-0.6915726743976165
25,1241,1755,0,29946,0.013749595377314959,121.43648567421359,56.34550907302731,7321,0.0033614101301450215,4.090424804795735,92,16,5167,0.0023724089799835165,324.5652173913044,83,172,145,0.023494058185562893,0.019806037423875694,0.0030721966204811262,1173,1729,0.9312024353120244,0.6784268359291921,0.5044319097502015,0.4997150997150997,0.0025693540310564346,-0.44945933161276036,-0.6266239612262237
