model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
Logistic Regression,0.7980392156862746,0.043127350813917976,0.37662484129391804,0.06482035019374216
Random Forest,0.9437908496732026,0.0013071895424836555,0.4855411255411255,0.00034632034632033906
SVM,0.7856209150326798,0.10992445920539684,0.40531258276391763,0.17691738077172003
