case_id,skeleton_length_deviation,endpoints_deviation,intersections_deviation,components_deviation,contours_deviation,ink_density_deviation,skeleton_density_deviation,template_deviation_score
1,0.24659005474743959,0.2965517231153389,0.2337662307303087,0.1891891874847821,0.0392156858900423,0.5830698078327894,1.6381802492666837,0.4609375627239121
2,0.2784878100871563,0.47586206732461356,3.701298653229888,0.27927927676324976,0.11764705767012688,0.9124490950038525,1.526520043546289,1.041649143375025
3,0.17388035654882608,0.43448275712247325,2.1818181534828813,0.09909909820631443,0.01960784294502115,0.6993579723318843,1.8927053646631187,0.785850220757217
4,0.2313392761001676,0.6758620666349584,1.3636363459268008,0.27927927676324976,0.08823529325259517,0.8018252346693602,1.691566610250916,0.7331063005140069
5,0.2038449145952266,0.3827586193697979,1.0389610254680386,0.2432432410518627,0.13725490061514803,0.9153945331694414,1.787812444137894,0.6727528112010585
6,0.7684459240931751,0.28620689556480383,3.870129819868444,0.0270270267835403,0.009803921472510574,3.047438620722072,5.191380937023768,1.885776163646902
7,1.3161851571994216,1.6862068907372176,14.7922076001012,0.42342341960879804,0.2941176441753172,4.618376737730176,7.108778408990869,4.319899408363286
8,0.4282032004695303,0.020689655101070153,2.311688281666386,0.0270270267835403,0.02941176441753172,0.8151929924978042,1.0024314012085689,0.662092046020633
9,0.3155407582090494,0.8413793074435196,10.155844023950078,0.6036035981657334,0.5882352883506344,2.601431310802064,3.605956399908996,2.673141526690011
10,0.31994415204382515,2.7689655076932222,11.181818036599767,1.315315303465628,0.8725490110534411,3.364526367855967,3.621370771742495,3.3492127357791914
11,0.001396198045172785,0.9724137897502972,3.714285666048238,0.6666666606606607,0.22549019386774322,1.286972886366713,2.506272555692564,1.3390711357759126
12,0.12028783158411686,0.19999999931034484,1.3896103715635018,0.26126125890755625,0.3137254871203384,1.8731717243603907,2.08030954868498,0.8911951745044613
13,0.39748684347572905,0.5620689635790725,12.311688151796258,0.22522522319616917,0.17647058650519035,2.338324382356734,3.892814100126856,2.843439750148001
14,0.04145634195666885,0.8413793074435196,3.76623371732164,0.45045044639233833,0.32352940859284895,1.8806486058576573,2.6465057433482326,1.421457652987558
15,0.20040811940710898,1.6689655114863258,4.5064934479676175,0.7477477410112816,0.28431372270280664,1.6355541646557357,3.202926970507295,1.7494870968197387
16,1.0277091610967986,2.148275854661118,6.532467447630293,0.963963955279604,0.6568627386582084,4.089160799632288,6.098949073754891,3.073912718673314
17,0.15282998602160563,0.634482756432818,4.961038896609884,0.5135135088872657,0.44117646626297585,1.8341446686663465,3.0363765626482406,1.6533661207898764
18,1.0168617762843022,2.220689647514863,5.519480447798955,1.270270258826394,0.8627450895809305,4.011106688244212,6.060977084604158,2.994590141836259
19,0.1893459348953554,0.9137931002972651,2.96103892258391,0.46846846424803185,0.2941176441753172,0.9750962990642461,1.8385670831016727,1.0914896354808283
20,0.5493502308506766,1.813793097193817,8.181818075560804,0.8738738660011364,0.7254901889657824,2.073631448745328,4.42442194823696,2.6631969793649293
21,0.08570508000368326,0.968965513900119,1.2727272561983474,0.7117117052998946,0.45098038773548643,1.2550262108784098,2.201368761620917,0.9923549879481225
22,0.054022124363223914,0.9034482727467301,1.909090884297521,0.5765765713821931,0.2941176441753172,1.2098817066866125,2.3122770467641796,1.0370591786308254
23,0.12845022015589622,0.33103448161712246,4.389610332602463,0.31531531247463684,0.22549019386774322,2.5071206464615923,2.951033577131232,1.5497221091872408
24,0.44087638272571406,0.1103448272057075,0.8181818075560805,0.03603603571138707,0.2941176441753172,2.5245667032885386,4.044702056729708,1.1812607796274932
25,0.21372570076106479,0.4068965503210464,0.8831168716478328,0.17117116962908857,0.1862745079777009,0.6963558911246455,1.7532240975847457,0.6158235412923034
26,0.3258511437734023,0.04827586190249703,0.6493506409175241,0.0270270267835403,0.11764705767012688,0.6079361031153518,1.3607215562643662,0.4481156272038298
27,0.1342498120358447,1.5206896499286564,3.3766233327711257,0.9549549463517573,0.7549019533833142,1.7859980832673104,2.9713354327167436,1.6426790300649647
28,0.003221995488860273,1.1551724098097502,4.987012922246586,0.8288288213619025,0.7745097963283354,1.7007503055901931,2.5126638805991686,1.7088800187749709
29,0.02534636451236748,1.3172413747681333,3.2467532045876206,0.657657651732814,0.4313725447904653,1.6736182886418047,2.4126584438259573,1.3949496961227374
30,0.4198260121984936,0.13103448230677764,0.18181817945690676,0.018018017855693534,0.009803921472510574,0.36233187453863,1.0317563037210562,0.3077983987928669
31,0.5865105788221984,1.9068965451486326,6.72727263990555,1.2522522409707006,0.8823529325259517,2.8276069760942386,4.554504208099791,2.676770874509581
32,0.09333046932731924,1.3999999951724138,0.6103896024624728,0.7657657588669752,0.3137254871203384,1.6430310461530018,2.828094562752138,1.0934767031220942
33,0.09171947158288911,0.5999999979310345,1.2857142690166978,0.18018017855693533,0.01960784294502115,1.0393861513323654,2.180314985458192,0.7709889852604478
34,0.28418000211747607,0.10689655135552914,1.584415563838759,0.0810810803506209,0.04901960736255287,1.0338351332510751,1.5065941482493432,0.6637174409321938
