template_id,ink_pixels,ink_density,skeleton_length,skeleton_density,endpoints_count,intersections_count,connected_components_count,contour_count,bbox_width,bbox_height,bbox_area_ratio,bbox_aspect_ratio
1,12807,0.010242699267567426,1535,0.0012276523288604667,15,17,5,3,889,722,0.5133410218226199,1.2313019373527674
2,1970,0.0014802414070859231,50,3.756957886004881e-05,24,2,12,12,1239,219,0.2038833419492901,5.657534220741853
3,10405,0.009542588558982002,1669,0.0015306660552562193,23,1,34,33,1202,361,0.39795666628453513,3.3296398799732967
4,2080,0.0024118542637061157,64,7.421090042172664e-05,30,3,17,17,411,243,0.1158072696534235,1.691358017731037
5,1077,0.009065656565656565,330,0.002777777777777778,4,7,1,1,133,136,0.15225589225589226,0.9779411692798443
6,2907,0.002316626316301176,139,0.00011077091777291483,71,4,29,29,323,355,0.09137803803187972,0.909859152366594
7,13856,0.011141971685110639,2008,0.0016146852730731932,27,8,5,5,1184,636,0.6055262764296157,1.8616352171986867
8,12725,0.016498761782514554,1601,0.002075797061988668,89,15,7,1,342,397,0.1760395192345093,0.8614609550089145
9,12795,0.010244252770031537,1915,0.001533235174256381,7,20,1,1,916,159,0.11660914032344456,5.761006253075433
